,date,Автор,Название,post_tag,post_id,Ссылка,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек),0
178,2024-05-06 19:12:00,Иванов Иван Иванович,Fanta вернулась в 2000-е в новой кампании Wanta Fanta,AdYummy!,322467,https://adindex.ru/news/adyummy/2024/05/6/322467.phtml,165.0,444.0,161.0,4.545454545,2.75,84.5,
179,2024-05-06 18:56:00,Борисова Ольга Борисовна,Еда от «Перекрестка» появилась на рейсах «России»,Маркетинг,322466,https://adindex.ru/news/marketing/2024/05/6/322466.phtml,71.0,269.0,71.0,6.25,1.5,24.0,
180,2024-05-06 17:26:00,Петрова Мария Сергеевна,Бельгийский регулятор возьмется за контроль контента «Телеграма» в ЕС,Digital,322465,https://adindex.ru/news/digital/2024/05/6/322465.phtml,19.0,103.0,17.0,16.666666665,4.5,168.08333333500002,
181,2024-05-06 15:31:00,Сидоров Антон Владимирович,Ряпушка и Налим научат школьников безопасно покупать и продавать в интернете,Социальные проекты,322462,https://adindex.ru/news/social_advertising/2024/05/6/322462.phtml,45.0,228.0,44.0,0.0,3.165,983.3214285725,
182,2024-05-06 13:37:00,Васильева Екатерина Васильевна,Объем рекламного рынка в «Телеграме» достиг 2 млрд рублей,Исследования,322461,https://adindex.ru/news/researches/2024/05/6/322461.phtml,307.0,850.0,292.0,0.0,1.1203703699999998,19.0,
183,2024-05-06 12:07:00,Данилова Светлана Викторовна,На «Госуслугах» предложили создать раздел для знакомств,Digital,322459,https://adindex.ru/news/digital/2024/05/6/322459.phtml,157.0,508.0,148.0,10.0,2.66666667,58.125,
184,2024-05-06 10:38:00,Жукова Ирина Ильинична,Продажи игровых ноутбуков выросли на 60% на майские праздники,Тенденции,322450,https://adindex.ru/news/tendencies/2024/05/6/322450.phtml,66.0,238.0,62.0,0.0,4.272727275,211.31818182,
185,2024-05-06 10:09:00,Васильева Екатерина Васильевна,СТС начал снимать продолжение «Ворониных»,Медиа,322456,https://adindex.ru/news/media/2024/05/6/322456.phtml,942.0,1440.0,904.0,12.5,1.89047619,92.2816666675,
186,2024-05-06 09:55:00,Васильева Екатерина Васильевна,Продажи складных телефонов выросли почти вдвое,Тенденции,322451,https://adindex.ru/news/tendencies/2024/05/6/322451.phtml,43.0,261.0,42.0,0.0,7.67142857,336.5,
187,2024-05-06 09:18:00,Петрова Мария Сергеевна,Ozon и Wildberries попали в топ-10 мировых маркетплейсов,Тенденции,322449,https://adindex.ru/news/tendencies/2024/05/6/322449.phtml,93.0,491.0,91.0,25.0,2.89473684,109.80681818,
188,2024-05-06 07:30:00,Петрова Мария Сергеевна,Уровень тревожности россиян сократился после мартовских событий,Исследования,322445,https://adindex.ru/news/digital/2024/05/6/322445.phtml,65.0,428.0,64.0,0.0,2.4166666675,77.58333333249999,
189,2024-05-06 07:05:00,Иванов Иван Иванович,В стране резко выросло количество универмагов,Тенденции,322444,https://adindex.ru/news/tendencies/2024/05/6/322444.phtml,43.0,235.0,42.0,0.0,3.226190475,192.25,
190,2024-05-05 05:10:00,Петрова Мария Сергеевна,XVI российский рейтинг крупнейших медиабаинговых агентств 2023,Агентства,322563,https://adindex.ru/news/agencies/2024/05/14/322563.phtml,695.0,2729.0,645.0,2.085,3.02,255.54,
191,2024-05-03 19:39:00,Борисова Ольга Борисовна,WARC: соцсети достигли нового пика,Тенденции,322442,https://adindex.ru/news/tendencies/2024/05/3/322442.phtml,90.0,512.0,80.0,0.0,4.25,483.25,
192,2024-05-03 18:47:00,Данилова Светлана Викторовна,ИИпокалипсис отменяется: ученые взяли под контроль каждый шаг нейросетей,Digital,322441,https://adindex.ru/news/digital/2024/05/3/322441.phtml,106.0,406.0,102.0,0.0,3.98611111,219.352941175,
193,2024-05-03 17:52:00,Сидоров Антон Владимирович,"Spotify ввел пейволл, Sony Pictures хочет купить Paramount, а у TikTok новые рекламные продукты — новости из зарубежных СМИ",Тенденции,322439,https://adindex.ru/news/tendencies/2024/05/3/322439.phtml,51.0,195.0,50.0,0.0,1.375,67.5769230775,
194,2024-05-03 17:30:00,Сидоров Антон Владимирович,Звезда «Великолепного века» Бурак Озчивит стал лицом «Иви»,Маркетинг,322437,https://adindex.ru/news/marketing/2024/05/3/322437.phtml,5588.0,6307.0,5508.0,16.410035190000002,1.8000824500000001,88.615,
195,2024-05-03 16:01:00,Григорьева Людмила Григорьевна,«Это просто клубничный пар»: «Национальные приоритеты» показали разницу между вейпом и сигаретами,Социальные проекты,322434,https://adindex.ru/news/social_advertising/2024/05/3/322434.phtml,79.0,352.0,69.0,0.0,2.0,130.66666667,
196,2024-05-03 14:10:00,Иванов Иван Иванович,VK купила долю в сервисе продажи билетов «Интикетс»,Digital,322433,https://adindex.ru/news/digital/2024/05/3/322433.phtml,70.0,368.0,68.0,0.0,3.0,65.0,
197,2024-05-03 13:00:00,Григорьева Людмила Григорьевна,Директор по маркетингу платежной системы «Мир» покинул компанию,Кадры,322430,https://adindex.ru/news/hr/2024/05/3/322430.phtml,784.0,1597.0,731.0,2.94,2.1618531475,81.98,
198,2024-05-03 11:52:00,Григорьева Людмила Григорьевна,Кот Матроскин и Карлсон появились в боксах «Бургер Кинга»,Креатив,322427,https://adindex.ru/news/creative/2024/05/3/322427.phtml,2131.0,3417.0,1952.0,21.43,1.4539726025,77.274446255,
199,2024-05-03 10:13:00,Егорова Надежда Андреевна,Сеть магазинов «Четыре лапы» создала зоотакси в Москве,Маркетинг,322422,https://adindex.ru/news/marketing/2024/05/3/322422.phtml,112.0,606.0,103.0,0.0,3.07317073,389.25,
200,2024-05-03 09:06:00,Григорьева Людмила Григорьевна,"CDEK.Shopping начал доставлять машины из Европы, Китая и Кореи",Маркетинг,322421,https://adindex.ru/news/marketing/2024/05/3/322421.phtml,121.0,409.0,115.0,0.0,3.666666665,258.125,
201,2024-05-02 18:56:00,Данилова Светлана Викторовна,Rutube создал приложение для блогеров на Android и iOS,Digital,322416,https://adindex.ru/news/digital/2024/05/2/322416.phtml,77.0,239.0,70.0,0.0,2.44444444,297.5,
202,2024-05-02 18:01:00,Егорова Надежда Андреевна,«Хруст против хруста»: KFC и Cheetos создали новый рецепт курицы,Креатив,322415,https://adindex.ru/news/creative/2024/05/2/322415.phtml,344.0,742.0,322.0,0.0,1.6475,104.47562500000001,
203,2024-05-02 14:57:00,Петрова Мария Сергеевна,Суд впервые оштрафовал блогера за кражу Reels,Право,322414,https://adindex.ru/news/digital/2024/05/2/322414.phtml,210.0,605.0,192.0,0.0,1.857664235,60.125,
204,2024-05-02 14:19:00,Григорьева Людмила Григорьевна,Студия Лебедева призвала «слиться в едином душевном порыве» 1 мая,Дизайн,322410,https://adindex.ru/news/design/2024/05/2/322410.phtml,77.0,437.0,74.0,18.52,3.835,99.925,
205,2024-05-02 12:52:00,Егорова Надежда Андреевна,Вадим Мельников ушел из АДВ,Кадры,322407,https://adindex.ru/news/hr/2024/05/2/322407.phtml,166.0,795.0,162.0,0.0,2.9699999999999998,134.96,
206,2024-05-02 12:29:00,Андреева Анастасия Андреевна,Рекламные доходы Amazon выросли на четверть,Digital,322405,https://adindex.ru/news/digital/2024/05/2/322405.phtml,63.0,295.0,61.0,0.0,2.73333333,216.5,
207,2024-05-02 10:52:00,Андреева Анастасия Андреевна,Брендлокатор. Владелец брендов «Имудон» и «Малоежка» запустил тендер на интернет-рекламу,Эккаунты,322401,https://adindex.ru/news/ek/2024/05/2/322401.phtml,58.0,345.0,50.0,0.0,3.415,219.58499999999998,
208,2024-05-02 10:18:00,Данилова Светлана Викторовна,Пользователи TikTok вновь получат доступ к музыке Universal Music Group,Digital,322400,https://adindex.ru/news/digital/2024/05/2/322400.phtml,56.0,292.0,50.0,0.0,4.5645161299999994,546.31048387,
209,2024-05-02 09:10:00,Иванов Иван Иванович,В России перестали ставить оригинальные комплектующие на технику Apple,Тенденции,322398,https://adindex.ru/news/tendencies/2024/05/2/322398.phtml,68.0,261.0,67.0,0.0,2.0,319.85,
210,2024-05-02 08:36:00,Петрова Мария Сергеевна,Каждый четвертый опрошенный россиянин подписан на блогеров,Тенденции,322395,https://adindex.ru/news/tendencies/2024/05/2/322395.phtml,67.0,263.0,66.0,0.0,3.396551725,177.66666666499998,
211,2024-05-02 07:59:00,Андреева Анастасия Андреевна,«М.Видео-Эльдорадо» увеличил предложение подержанной техники,Тенденции,322394,https://adindex.ru/news/tendencies/2024/05/2/322394.phtml,25.0,108.0,25.0,0.0,1.8125,35.6875,
212,2024-05-02 07:34:00,Егорова Надежда Андреевна,Роскомнадзор рекомендовал сократить сбор информации для иностранных ботов,Право,322393,https://adindex.ru/news/right/2024/05/2/322393.phtml,14.0,96.0,14.0,7.142857145,6.535714285,973.42857143,
213,2024-05-02 07:26:00,Васильева Екатерина Васильевна,Рост ВВП страны замедлился по итогам марта,Тенденции,322392,https://adindex.ru/news/tendencies/2024/05/2/322392.phtml,26.0,193.0,26.0,0.0,2.0,44.0,
